,race_id,driver_id,constructor_id,grid_position,race_points_scored,race_laps_completed,status_id,year,round,circuit_id,driver_nationality,constructor_nationality,driver_season_points,driver_season_position,driver_season_wins,constructor_season_points,constructor_season_position,constructor_season_wins,q1_time,q2_time,q3_time,final_position
42,19,10,7,10,0.0,1,4,2008,2,2,18,15,1.0,21.0,0.0,5.0,6.0,0.0,95891.0,95000.0,99656.0,34.0
43,19,7,5,18,0.0,0,20,2008,2,2,17,14,2.0,10.0,0.0,2.0,8.0,0.0,96677.0,96677.0,96677.0,34.0
44,20,13,6,2,10.0,57,1,2008,3,3,7,14,10.0,6.0,1.0,29.0,2.0,2.0,91937.0,91188.0,93123.0,1.0
45,20,8,6,4,8.0,57,1,2008,3,3,16,14,19.0,1.0,1.0,29.0,2.0,2.0,92652.0,91933.0,93418.0,2.0
46,20,9,2,1,6.0,57,1,2008,3,3,30,10,14.0,4.0,0.0,30.0,1.0,0.0,92893.0,91745.0,93096.0,3.0
47,20,2,2,6,5.0,57,1,2008,3,3,18,10,16.0,2.0,0.0,30.0,1.0,0.0,93137.0,91909.0,93737.0,4.0
48,20,5,1,5,4.0,57,1,2008,3,3,16,5,14.0,5.0,0.0,28.0,3.0,1.0,93057.0,91718.0,93488.0,5.0
49,20,15,7,7,3.0,57,1,2008,3,3,23,15,8.0,7.0,0.0,8.0,5.0,0.0,92493.0,92159.0,93994.0,6.0
50,20,17,9,11,2.0,57,1,2008,3,3,4,2,4.0,10.0,0.0,4.0,7.0,0.0,93194.0,92371.0,92371.0,7.0
51,20,3,3,8,1.0,57,1,2008,3,3,18,5,7.0,8.0,0.0,10.0,4.0,0.0,92903.0,92185.0,94015.0,8.0
52,20,10,7,13,0.0,57,1,2008,3,3,18,15,0.0,14.0,0.0,8.0,5.0,0.0,92800.0,92528.0,92528.0,9.0
53,20,4,4,10,0.0,57,1,2008,3,3,35,9,6.0,9.0,0.0,6.0,6.0,0.0,92947.0,92345.0,95115.0,10.0
54,20,22,11,12,0.0,57,1,2008,3,3,7,15,0.0,16.0,0.0,0.0,9.0,0.0,92944.0,92508.0,92508.0,11.0
55,20,21,10,18,0.0,56,11,2008,3,3,23,12,0.0,18.0,0.0,0.0,10.0,0.0,93501.0,93501.0,93501.0,12.0
56,20,1,1,3,0.0,56,11,2008,3,3,8,5,14.0,3.0,1.0,28.0,3.0,1.0,92750.0,91922.0,93292.0,13.0
57,20,6,3,16,0.0,56,11,2008,3,3,24,5,3.0,11.0,0.0,10.0,4.0,0.0,93386.0,92943.0,92943.0,14.0
58,20,7,5,15,0.0,56,11,2008,3,3,17,14,2.0,12.0,0.0,2.0,8.0,0.0,93415.0,92915.0,92915.0,15.0
59,20,19,8,21,0.0,56,11,2008,3,3,8,15,0.0,19.0,0.0,0.0,11.0,0.0,94140.0,94140.0,94140.0,16.0
60,20,11,8,22,0.0,56,11,2008,3,3,24,15,0.0,20.0,0.0,0.0,11.0,0.0,95725.0,95725.0,95725.0,17.0
61,20,14,9,17,0.0,56,11,2008,3,3,8,2,0.0,13.0,0.0,4.0,7.0,0.0,93433.0,93433.0,93433.0,18.0
62,20,16,10,20,0.0,56,12,2008,3,3,18,12,0.0,21.0,0.0,0.0,10.0,0.0,93845.0,93845.0,93845.0,19.0
63,20,12,4,14,0.0,40,6,2008,3,3,7,9,0.0,17.0,0.0,6.0,6.0,0.0,92975.0,92790.0,92790.0,34.0
64,20,18,11,9,0.0,19,4,2008,3,3,8,15,0.0,15.0,0.0,0.0,9.0,0.0,92793.0,92362.0,95057.0,34.0
65,20,20,5,19,0.0,0,5,2008,3,3,18,14,2.0,21.0,0.0,2.0,8.0,0.0,93562.0,93562.0,93562.0,34.0
66,21,8,6,1,10.0,66,1,2008,4,4,16,14,29.0,1.0,2.0,47.0,1.0,3.0,80701.0,80784.0,81813.0,1.0
67,21,13,6,3,8.0,66,1,2008,4,4,7,14,18.0,4.0,1.0,47.0,1.0,3.0,81528.0,80584.0,82058.0,2.0
68,21,1,1,5,6.0,66,1,2008,4,4,8,5,20.0,2.0,1.0,34.0,3.0,1.0,81366.0,80825.0,82096.0,3.0
69,21,9,2,4,5.0,66,1,2008,4,4,30,10,19.0,3.0,0.0,35.0,2.0,0.0,81423.0,80597.0,82065.0,4.0
70,21,17,9,7,4.0,66,1,2008,4,4,4,2,8.0,8.0,0.0,8.0,6.0,0.0,81494.0,80984.0,82429.0,5.0
71,21,18,11,13,3.0,66,1,2008,4,4,8,15,3.0,12.0,0.0,3.0,8.0,0.0,81757.0,81211.0,81211.0,6.0
72,21,6,3,12,2.0,66,1,2008,4,4,24,5,5.0,11.0,0.0,12.0,4.0,0.0,81690.0,81117.0,81117.0,7.0
73,21,15,7,8,1.0,66,1,2008,4,4,23,15,9.0,7.0,0.0,9.0,5.0,0.0,81158.0,80907.0,82529.0,8.0
74,21,2,2,9,0.0,66,1,2008,4,4,18,10,16.0,5.0,0.0,35.0,2.0,0.0,81466.0,80815.0,82542.0,9.0
